Nama Program;Pemilik Program;Tahun Penyelenggaraan
Pelatihan Jarak Jauh Penjenjangan Fungsional Penyuluh Pajak ;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Jarak Jauh Penyegaran Kompetensi Manajerial dan Sosial Kultural Pejabat Fungsional Ahli Madya dan Ahli Utama ;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
Pelatihan Jarak Jauh Penyegaran Kompetensi Manajerial dan Sosial Kultural Pejabat Fungsional Ahli Muda ;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
Pelatihan Jarak Jauh Penyegaran Kuasa Pengguna Barang ;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2020
Pelatihan Jarak Jauh Penyegaran Pemanfaatan Barang Milik Negara;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2023
Pelatihan Jarak Jauh Penyegaran Pengelolaan Barang Milik Negara Bagi Pengelola Barang;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2023
Pelatihan Jarak Jauh Penyegaran Pengelolaan BMN Bagi Pengguna Barang;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2020
Pelatihan Jarak Jauh Penyegaran Pengetahuan terkait Lelang;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2021
Pelatihan Jarak Jauh Penyegaran Pengurusan Piutang Negara;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2020
Pelatihan Jarak Jauh Penyegaran Penilaian Properti Dasar;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2021
Pelatihan Jarak Jauh Penyegaran Penilaian Properti Lanjutan;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2021
Pelatihan Jarak Jauh Penyetaraan Fungsional Penilai Pemerintah Ahli Muda;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2022
Pelatihan Jarak Jauh Penyiapan Tenaga Pendamping Penyusunan Laporan Keuangan Kementerian/Lembaga;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Pelatihan Jarak Jauh Penyidikan Tindak Pidana Pencucian Uang Yang Tindak Pidana Asalnya Tindak Pidana Di Bidang Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Penyuluh Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Penyusunan Anggaran Berbasis Kinerja;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Pelatihan Jarak Jauh Penyusunan Anggaran Berbasis Kinerja ;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
Pelatihan Jarak Jauh Penyusunan APBN;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Pelatihan Jarak Jauh Penyusunan Buku;Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
Pelatihan Jarak Jauh Penyusunan Desain Pembelajaran Pelatihan Jarak Jauh;Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
Pelatihan Jarak Jauh Penyusunan Dokumen Pengadaan Barang/Jasa Pemerintah bagi Kelompok Kerja Pemilihan;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Pelatihan Jarak Jauh Penyusunan Dokumen Pengadaan Barang/Jasa Pemerintah bagi Pejabat Pengadaan ;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Pelatihan Jarak Jauh Penyusunan Exercise PNBP SDA Migas Berdasarkan Asumsi Dasar Ekonomi Makro;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Pelatihan Jarak Jauh Penyusunan Informasi Strategis Hasil Pengawasan;Pusat Pendidikan dan Pelatihan Keuangan Umum;2020
Pelatihan Jarak Jauh Penyusunan Kebijakan Revenue Generation terhadap Barang Milik Negara;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2022
Pelatihan Jarak Jauh Penyusunan Kontrak Pengadaan Barang/Jasa;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
Pelatihan Jarak Jauh Penyusunan Laporan Keuangan Satuan Kerja dan Laporan Keuangan BLU;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Pelatihan Jarak Jauh Penyusunan Materi Pembelajaran Berbasis Multimedia;Pusat Pendidikan dan Pelatihan Keuangan Umum;2020
Pelatihan Jarak Jauh Penyusunan Perjanjian Internasional;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
Pelatihan Jarak Jauh Penyusunan Portofolio Aset Negara;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2020
Pelatihan Jarak Jauh Penyusunan Position Paper;Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
Pelatihan Jarak Jauh Penyusunan Proposal Inovasi;Pusat Pendidikan dan Pelatihan Keuangan Umum;2024
Pelatihan Jarak Jauh Penyusunan Proses Bisnis;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
Pelatihan Jarak Jauh Penyusunan Regulasi di Bidang Hubungan Keuangan Pusat dan Daerah Berbasis Bukti dan Dampak melalui RIA;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2022
Pelatihan Jarak Jauh Penyusunan Rencana Strategis;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
Pelatihan Jarak Jauh Penyusunan Service Level Agreement untuk Pelayanan  Pembelajaran;Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
Pelatihan Jarak Jauh Penyusunan Service Level Agreement untuk Penyuluh Pajak ;Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
Pelatihan Jarak Jauh Penyusunan Spesifikasi Teknis dan Harga Perkiraan Sendiri;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
Pelatihan Jarak Jauh Penyusunan Standar Kompetensi Kerja Khusus Bagi PKN STAN;Pusat Pendidikan dan Pelatihan Keuangan Umum;2020
Pelatihan Jarak Jauh Penyusunan Standar Kompetensi Teknis Jabatan;Pusat Pendidikan dan Pelatihan Keuangan Umum;2020
Pelatihan Jarak Jauh Penyusunan Strategi Komunikasi berdasarkan Kerangka Strategi Marketing;Pusat Pendidikan dan Pelatihan Keuangan Umum;2024
Pelatihan Jarak Jauh Penyusunan Studi Kasus untuk Media Pembelajaran;Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
Pelatihan Jarak Jauh Penyusunan Tarif Penerimaan Negara Bukan Pajak;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Pelatihan Jarak Jauh Peraturan Sektoral Pajak Daerah dan Retribusi Daerah dan Legal Review;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2020
Pelatihan Jarak Jauh Perencanaan dan Penganggaran Bagi Direktorat Jenderal Kekayaan Negara;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2023
Pelatihan Jarak Jauh Perencanaan dan Penganggaran Desa;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2022
Pelatihan Jarak Jauh Perencanaan dan Penganggaran Redesain Sistem Perencanaan dan Penganggaran (RSPP) ;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Pelatihan Jarak Jauh Perencanaan dan Pengelolaan Pusat Data;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
Pelatihan Jarak Jauh Perencanaan Kas;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
Pelatihan Jarak Jauh Perencanaan Kebutuhan Barang Milik Negara;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2020
Pelatihan Jarak Jauh Perencanaan Kebutuhan Barang Milik Negara Bagi Pengguna Barang;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2022
Pelatihan Jarak Jauh Perencanaan Kebutuhan BMN bagi Pengelola;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2021
Pelatihan Jarak Jauh Perencanaan Penganggaran bagi Kasubbag. Umum;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Pelatihan Jarak Jauh Perencanaan Penganggaran bagi Staf ;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2023
Pelatihan Jarak Jauh Perencanaan Penganggaran bagi Staf Perencana ;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
Pelatihan Jarak Jauh Perkembangan E-Commerce;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2021
Pelatihan Jarak Jauh Perpajakan Belanja Barang dan Belanja Modal Bagi Pejabat Pengelola Keuangan Negara ;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Pelatihan Jarak Jauh Perpajakan Internasional dan PSIAP untuk Widyaiswara ;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Perpajakan untuk Pegawai Non DJP (Inspektorat Jenderal);Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Perpajakan untuk Pegawai Pusat Pembinaan Profesi Keuangan (PPPK) ;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Persiapan Kenaikan Jabatan Fungsional Penata Laksana Barang Jenjang Mahir;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2023
Pelatihan Jarak Jauh Persiapan Kenaikan Jabatan Fungsional Penata Laksana Barang Jenjang Penyelia;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2023
Pelatihan Jarak Jauh Persiapan Kenaikan Jenjang Jabatan Fungsional Pelelang;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2020
Pelatihan Jarak Jauh Persiapan Kenaikan Jenjang Jabatan Fungsional Pelelang Ahli Muda;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2021
Pelatihan Jarak Jauh Persiapan Kenaikan Jenjang Jabatan Fungsional Pelelang Ahli Pertama;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2021
Pelatihan Jarak Jauh Persiapan Konsultan Learning Organization dan Konowledge Management;Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
Pelatihan Jarak Jauh Persiapan Purnabhakti;Pusat Pendidikan dan Pelatihan Keuangan Umum;2020
Pelatihan Jarak Jauh Persiapan Purnabhakti Kelas Eksekutif;Pusat Pendidikan dan Pelatihan Keuangan Umum;2020
Pelatihan Jarak Jauh Persiapan Secondment Pegawai DJKN ke Perusahaan Sekuritas;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2022
Pelatihan Jarak Jauh Persiapan Sertifikasi CRMO;Pusat Pendidikan dan Pelatihan Keuangan Umum;2024
Pelatihan Jarak Jauh Persiapan Sertifikasi Treasury Dealer Tingkat Dasar;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
Pelatihan Jarak Jauh Persiapan Uji Kompetensi Pengadaaan Barang/Jasa Pemerintah Level 1;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Pelatihan Jarak Jauh Persiapan Uji Kompetensi Pengangkatan Jabatan Fungsional Penata Laksana Barang;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2023
Pelatihan Jarak Jauh Persiapan Ujian Chartered Financial Analyst Level 1;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
Pelatihan Jarak Jauh Persiapan Wakil Manajer Investasi (WMI) Tahap I;Pusat Pendidikan dan Pelatihan Keuangan Umum;2020
Pelatihan Jarak Jauh Persuasive Communication;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2024
Pelatihan Jarak Jauh Pertambangan Batubara;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Petugas Pemeriksa Pajak (P3);Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Petugas Penegakan Hukum;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Petugas Tempat Pelayanan Terpadu;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Post Clearance Audit;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2020
Pelatihan Jarak Jauh Pra Pembentukan Pawang Anjing Pelacak DJBC;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2020
Pelatihan Jarak Jauh Prinsip Mengenali Pengguna Jasa dan Pelaporan Transaksi Lelang;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2021
Pelatihan Jarak Jauh Program Evaluation;Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
Pelatihan Jarak Jauh Project Management;Pusat Pendidikan dan Pelatihan Keuangan Umum;2020
Pelatihan Jarak Jauh Prosedur Penanganan Dokumen Elektronik bagi Penyidik Pegawai Negeri Sipil (PPNS);Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Proses Bisnis Badan Kebijakan Fiskal untuk Auditor dan Calon Auditor;Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
Pelatihan Jarak Jauh Proses Bisnis E-Commerce;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2021
Pelatihan Jarak Jauh Proses Bisnis PNBP SDA di Bidang Perikanan dan Kehutanan;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2023
Pelatihan Jarak Jauh Proses Bisnis Sekretariat Jenderal dan Badan Pendidikan dan Pelatihan Keuangan untuk Auditor dan Calon Auditor;Pusat Pendidikan dan Pelatihan Keuangan Umum;2020
Pelatihan Jarak Jauh Public Communication;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2023
Pelatihan Jarak Jauh Public Expenditure Review;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Pelatihan Jarak Jauh Quality Assurance and Improvement Program;Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
Pelatihan Jarak Jauh Redesain Sistem Perencanaan dan Penganggaran;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Pelatihan Jarak Jauh Redesain Sistem Perencanaan dan Penganggaran Bagi Direktorat Jenderal Kekayaan Negara;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Pelatihan Jarak Jauh Refreshment Regulatory Impact Analysis (RIA);Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Pelatihan Jarak Jauh Regional Chief Economist (RCE);Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
Pelatihan Jarak Jauh Rencana Bisnis dan Anggaran (RBA), Tarif, dan Remunerasi Badan Layanan Umum (BLU);Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Pelatihan Jarak Jauh Reshaping Leadership Culture;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
Pelatihan Jarak Jauh Restrukturisasi BUMN;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2022
Pelatihan Jarak Jauh Review Anggaran Belanja;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2023
Pelatihan Jarak Jauh Review Anggaran Berbasis Kinerja Bagi Aparat Pengawas Internal Pemerintah (APIP);Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Pelatihan Jarak Jauh Reviu Anggaran Belanja;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2020
Pelatihan Jarak Jauh Reviu Pengendalian Intern Atas Pelaporan Keuangan Pemerintah Pusat Bagi Kementerian/Lembaga;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2023
Pelatihan Jarak Jauh Reviu/Kajian Rencana Bisnis dan Anggaran Badan Layanan Umum (RBA BLU);Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Pelatihan Jarak Jauh Risk and Finance Integration;Pusat Pendidikan dan Pelatihan Keuangan Umum;2020
Pelatihan Jarak Jauh SAKTI Kelompok Modul Pelaporan;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Pelatihan Jarak Jauh SAKTI Modul Admin, Modul Penganggaran, dan Modul Pelaksanaan;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2023
Pelatihan Jarak Jauh SAKTI Modul Penganggaran;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Pelatihan Jarak Jauh SAKTI Modul Penganggaran Bagi Kementerian/Lembaga;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2023
Pelatihan Jarak Jauh Sekretaris Pimpinan;Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
Pelatihan Jarak Jauh Service Excellence bagi Frontliners di Lingkungan Direktorat Jenderal Kekayaan Negara ;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
Pelatihan Jarak Jauh Sinkronisasi Perencanaan, Penganggaran dan Monitoring Evaluasi Kinerja Penganggaran Belanja Pusat (K/L) dan Belanja Daerah (TKD-DAK) (Joint Program);Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2023
Pelatihan Jarak Jauh Sistem Informasi Geografis;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Speech Writing;Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
Pelatihan Jarak Jauh Spending Review oleh Pengguna Anggaran;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Pelatihan Jarak Jauh Staf Pejabat Pembuat Komitmen;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Pelatihan Jarak Jauh Statistika Tingkat Lanjutan ;Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
Pelatihan Jarak Jauh Statistika Untuk Laboratorium Pengujian Menunjang Penerapan ISO 17025:2017;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2023
Pelatihan Jarak Jauh Strategi dan Teknik Pengawasan Guna Menyediakan Formulasi Rekomendasi Kebijakan;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Jarak Jauh Strategi Komunikasi dan Analisis Media Sosial;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
Pelatihan Jarak Jauh Strategi Optimalisasi Pendapatan Asli Daerah (PAD);Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2022
Pelatihan Jarak Jauh Strategi Peningkatan Lelang pada Koperasi dan Usaha Mikro, Kecil, dan Menengah (KUMKM);Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2022
Pelatihan Jarak Jauh Structural Equation Modelling (SEM) untuk Menganalisis Perilaku Investor ;Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
Pelatihan Jarak Jauh Supervisor Teknologi Informasi dan  Komunikasi DJKN Tingkat Pemula;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2022
Pelatihan Jarak Jauh Supervisor Teknologi Informasi dan Komunikasi DJKN Tingkat Dasar ;Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
Pelatihan Jarak Jauh Supervisor Teknologi Informasi dan Komunikasi DJKN Tingkat Lanjutan;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2022
Pelatihan Jarak Jauh Supply Chain Management pada Pengadaan Barang/Jasa Pemerintah;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
Pelatihan Jarak Jauh Survei Kepuasan Pelanggan;Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
Pelatihan Jarak Jauh Survei Kepuasan Pelanggan bagi Manajerial;Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
Pelatihan Jarak Jauh SWOT Analisys;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2024
Pelatihan Jarak Jauh SWOT Analysis;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2023
Pelatihan Jarak Jauh Synchronous Learning;Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
Pelatihan Jarak Jauh Systemic Risk, Financial Stability and Crisis Preparedness;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
Pelatihan Jarak Jauh Talent Development Program Jabatan Administrator di Lingkungan Kementerian Keuangan;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
Pelatihan Jarak Jauh Talent Development Program Jabatan Pengawas di Lingkungan Kementerian Keuangan;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
Pelatihan Jarak Jauh Talent Development Program Pejabat Administrator Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
Pelatihan Jarak Jauh Talent Development Program Pejabat Pengawas Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
Pelatihan Jarak Jauh Tata Kelola Fisik Bangunan Gedung Pemerintah (Building Management);Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2021
Pelatihan Jarak Jauh Tata Kelola TIK;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
Pelatihan Jarak Jauh Tata Naskah Dinas;Pusat Pendidikan dan Pelatihan Keuangan Umum;2020
Pelatihan Jarak Jauh Tax Treaty Tingkat Dasar;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Teknik Audit Berbantuan Komputer (TABK) Menggunakan SQL Tingkat Dasar;Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
Pelatihan Jarak Jauh Teknik Audit Berbantuan Komputer Perpajakan (TABK-Perpajakan);Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Teknik Audit Berbantuan Komputer Tingkat Dasar;Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
Pelatihan Jarak Jauh Teknik Editing Suara;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
Pelatihan Jarak Jauh Teknik Identifikasi Mesin dalam Kondisi Baru atau Bukan Baru KPPBC Tipe Madya Pabean Tanjung Emas;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2020
Pelatihan Jarak Jauh Teknik Identifikasi Tindak Pidana Pencucian Uang dan Penelusuran Aset;Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
Pelatihan Jarak Jauh Teknik Investigasi;Pusat Pendidikan dan Pelatihan Keuangan Umum;2020
Pelatihan Jarak Jauh Teknik Penggalian Informasi dan Penanganan Pengaduan;Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
Pelatihan Jarak Jauh Teknik Penyusunan Kuesioner dan Survei Lapangan;Pusat Pendidikan dan Pelatihan Keuangan Umum;2024
Pelatihan Jarak Jauh Teknik Penyusunan Kuesioner dan Survey Lapangan;Pusat Pendidikan dan Pelatihan Keuangan Umum;2020
Pelatihan Jarak Jauh Teknik Persuasi untuk Jabatan Fungsional Analis Keuangan Pusat dan Daerah (Jafung AKPD);Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2020
Pelatihan Jarak Jauh Teknik Voice Over;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
Pelatihan Jarak Jauh Teknis Menengah/ Tingkat Tinggi Peningkatan Kapasitas Fiskal Daerah**;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2022
Pelatihan Jarak Jauh Teknis Pengelolaan Kas Negara: Analisis Pasar Obligasi Tingkat Dasar;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Pelatihan Jarak Jauh Teknis Perbendaharaan Penerimaan Kepabeanan dan Cukai ;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2020
Pelatihan Jarak Jauh Teknis Perbendaharaan: Analisis Pasar Uang Tingkat Dasar;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Pelatihan Jarak Jauh Teknis Proyeksi Penerimaan Kepabeanan dan Cukai;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2022
Pelatihan Jarak Jauh Tematis Kuasa Pengguna Anggaran;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Pelatihan Jarak Jauh Tematis Proses Bisnis Pelaksanaan Anggaran Bagi Unit Kepatuhan Internal;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2023
Pelatihan Jarak Jauh Teori Ekonomi Makro Tingkat Dasar;Pusat Pendidikan dan Pelatihan Keuangan Umum;2020
Pelatihan Jarak Jauh Teori Ekonomi Makro Tingkat Lanjutan;Pusat Pendidikan dan Pelatihan Keuangan Umum;2020
Pelatihan Jarak Jauh Tindak Pidana Pencucian Uang (TPPU) ;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2021
Pelatihan Jarak Jauh TOT Perimbangan Keuangan Bagian 2;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2022
Pelatihan Jarak Jauh TOT Perimbangan Keuangan Bagian I;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2021
Pelatihan Jarak Jauh TOT Program Pembelajaran Pengelolaan Keuangan dan Aset Desa;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2022
Pelatihan Jarak jauh Trainer Penagihan Pajak Daerah;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Jarak Jauh Training of Trainers (ToT) Penguatan, Revitalisasi, dan Optimalisasi UKI (PRO UKI);Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
Pelatihan Jarak Jauh Training of Trainers for DGSAM Valuers;Pusat Pendidikan dan Pelatihan Keuangan Umum;2020
Pelatihan Jarak Jauh Transfer Pricing Bagi Inspektorat Jenderal;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Jarak Jauh Transfer Pricing Dasar;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Transfer Pricing Dasar untuk Pegawai Inspektorat Jenderal;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Transfer Pricing I;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Transfer Pricing I bagi Fungsional Penilai Pajak;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Jarak Jauh Transfer Pricing II;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Transfer Pricing Lanjutan;Pusat Pendidikan dan Pelatihan Pajak;2020
"Pelatihan Jarak Jauh Transformasi TPB Seri I: ""Monitoring dan Evaluasi TPB""";Pusat Pendidikan dan Pelatihan Bea dan Cukai;2023
Pelatihan Jarak Jauh Transformasi TPB Seri II: Data Analytics;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2023
Pelatihan Jarak Jauh Treasury Data Analysis (Statistics);Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
Pelatihan Jarak Jauh Treasury Data Analysis and Business Intelligence;Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
Pelatihan Jarak Jauh Utilisasi dan Optimalisasi Pemanfaatan Barang Milik Negara;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2021
Pelatihan Jarak Jauh Validator Authorized Economic Operator (AEO);Pusat Pendidikan dan Pelatihan Bea dan Cukai;2020
