id_program;nama_program;pusdiklat;tahun
PR177;E-Learning Bendahara Pengeluaran/Bendahara Pengeluaran Pembantu (Crash Program BNT);Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2020
PR178;E-learning Bootcamp Data Analytics I;Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
PR179;E-learning Budaya Organisasi DJBC;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2020
PR180;E-Learning CBT Terintegrasi Penyegaran Bendahara Pengeluaran;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2019
PR181;E-Learning Communication Skills Tingkat Dasar;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
PR182;E-Learning Creative and Innovative Thinking Techniques;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2023
PR183;E-Learning Creative and Innovative Thinking Techniques for Leaders;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2019
PR184;E-Learning Cross Function Pengelolaan Keuangan Negara;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2019
PR185;E-learning Dasar Fiqih Muamalah;Pusat Pendidikan dan Pelatihan Keuangan Umum;2019
PR186;E-Learning Dasar Pemeriksaan Lelang;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2019
PR187;E-Learning Dasar Tingkat II Perbendaharaan;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
PR188;E-Learning Dasar Tingkat II Perbendaharaan (PKN STAN);Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2020
PR189;E-Learning Dasar-Dasar Coaching, Mentoring, dan Counseling;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
PR190;E-Learning Dasar-Dasar Evaluasi Pascapembelajaran;Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
PR191;E-learning Dasar-Dasar Export Credit Agency;Pusat Pendidikan dan Pelatihan Keuangan Umum;2020
PR192;E-Learning Dasar-Dasar Kehumasan;Pusat Pendidikan dan Pelatihan Keuangan Umum;2020
PR193;E-learning Dasar-Dasar Legal Drafting;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
PR194;E-Learning Dasar-dasar Multimedia dan Desain Grafis;Pusat Pendidikan dan Pelatihan Keuangan Umum;2020
PR195;E-Learning Dasar-Dasar Pembiayaan Risiko Bencana (Disaster Risk Financing & Insurance Program);Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
PR196;E-Learning Dasar-Dasar Pengelolaan UMKM;Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
PR197;E-Learning Dasar-Dasar Pengetahuan Hukum;Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
PR198;E-Learning Dasar-Dasar Pengetahuan Hukum bagi Pegawai Direktorat Jenderal Kekayaan Negara (DJKN);Pusat Pendidikan dan Pelatihan Keuangan Umum;2024
PR199;E-Learning Dasar-Dasar Pengetahuan Hukum bagi Pegawai DJKN;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2019
PR200;E-Learning Dasar-Dasar Penyusunan APBN;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2019
PR201;E-Learning Data Science for Leaders;Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
PR202;E-Learning Data Structures;Pusat Pendidikan dan Pelatihan Keuangan Umum;2024
PR203;E-Learning Data-Driven Decision-Making;Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
PR204;E-Learning Dewan Pengawas Badan Layanan Umum (BLU) ;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
PR205;E-Learning Dewan Pengawas Badan Layanan Umurn (BLU) ;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2020
PR206;E-Learning Digital Literacy;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
PR207;E-Learning DJBC: Narkotika dan Pengawasannya;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2020
PR208;E-Learning E-Commerce;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2021
PR209;E-Learning E-Commerce ;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2021
PR210;E-Learning E-Commerce untuk Pegawai DJBC;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2021
PR211;E-Learning E-Commerce untuk Pegawai Kementerian Keuangan;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2021
PR212;E-Learning Effective Negotiation Skills;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2024
PR213;E-Learning Effective Teamwork;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
PR214;E-LEARNING EKSPOR DAN IMPOR BARANG BAWAAN PENUMPANG;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2020
PR215;E-learning Ekspor dan Impor Barang Bawaan Penumpang untuk Pegawai DJBC;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2021
PR216;E-learning Ekspor Impor Barang Bawaan Penumpang;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2021
